Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-xe3o,randomiser-mhmr,branch-632j,randomiser-ydsz,randomiser-dv67,randomiser-4jvp,randomiser-whjp,randomiser-8x67,randomiser-wkma,branch-tihy,Randomise questionnaire elements?,consent-response-1,consent-response-2,consent-response-text,consent-response-other,END QUESTIONNAIRE
1,1701417258513,01/12/2023 07:54:18,1701417258319,1,01/12/2023 08:54:18,146089,8,questionnaire-ibmm,,33343441,BLIND,9872565,,complete,,6569911a6b0eea2328e2e00d,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,375x812,375x628,,,,Consent,5,SoundCheckPassed,1,test passed,4,,,,,,yes,No,Evet,,,,41431
1,1701417486458,01/12/2023 07:58:06,1701417486379,0,01/12/2023 07:58:06,146089,8,questionnaire-ibmm,,33343467,BLIND,9872571,,complete,,6569920569aa56111e0d61a7,mobile,Apple iPhone,iOS 17.1,GSA 291.0.582931352,393x852,393x655,,,,Consent,5,SoundCheckPassed,2,test passed,,5,,,,,yes,No,Evet,,,,6229
1,1701417514648,01/12/2023 07:58:34,1701417514561,0,01/12/2023 07:58:34,146089,8,questionnaire-ibmm,,33343472,BLIND,9872574,,complete,,65699204d2d8b1331551069d,mobile,Apple iPhone,iOS 17.1,Chrome 120.0.6099.50,393x852,393x665,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,2,,yes,No,Evet,,,,98644
1,1701417865224,01/12/2023 08:04:25,1701417865140,0,01/12/2023 08:04:25,146089,8,questionnaire-ibmm,,33343524,BLIND,9872585,,complete,,6569937cfc7f559245d3f257,mobile,Apple iPhone,iOS 16.6.1,Mobile Safari 16.6,375x812,375x631,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,3,yes,No,Evet,,,,5384
1,1701418906122,01/12/2023 08:21:46,1701418909231,0,01/12/2023 08:21:49,146089,8,questionnaire-ibmm,,33343752,BLIND,9872637,,complete,,6569977d26d8ec8117c637ce,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x715,,,,Consent,5,SoundCheckPassed,3,test passed,,,5,,,,yes,No,Evet,,,,24624
1,1701419295832,01/12/2023 08:28:15,1701419295610,1,01/12/2023 09:28:15,146089,8,questionnaire-ibmm,,33343814,BLIND,9872650,,complete,,65699913239b3039b0c8899f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1512x982,1512x865,,,,Consent,5,SoundCheckPassed,4,test passed,,,,2,,,yes,No,Evet,,,,21118
1,1701419464012,01/12/2023 08:31:04,1701419463968,0,01/12/2023 08:31:03,146089,8,questionnaire-ibmm,,33343854,BLIND,9872658,,complete,,656999be6a7f7c6e868078da,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,,Consent,5,SoundCheckPassed,3,test passed,,,6,,,,yes,No,Evet,,,,18732
1,1701419542963,01/12/2023 08:32:22,1701419542865,0,01/12/2023 08:32:22,146089,8,questionnaire-ibmm,,33343870,BLIND,9872662,,complete,,65699a0ad2d8b133155108a5,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,393x852,393x659,,,,Consent,5,SoundCheckPassed,2,test passed,,3,,,,,yes,No,Evet,,,,11134
1,1701419713264,01/12/2023 08:35:13,1701419713098,0,01/12/2023 08:35:13,146089,8,questionnaire-ibmm,,33343904,BLIND,9872671,,complete,,65699ab853b2ccf77ec88e3d,mobile,Apple iPhone,iOS 16.6.1,Mobile Safari 16.6,390x844,390x664,,,,Consent,5,SoundCheckPassed,1,test passed,2,,,,,,yes,No,Evet,,,,10857
1,1701420165992,01/12/2023 08:42:45,1701420166565,0,01/12/2023 08:42:46,146089,8,questionnaire-ibmm,,33344012,BLIND,9872701,,complete,,65699c736a7f7c6e86807985,mobile,undefined K,Android 10,Chrome 119.0.0.0,393x873,393x736,,,,Consent,5,SoundCheckPassed,4,test passed,,,,3,,,yes,No,Evet,,,,27830
1,1701421469750,01/12/2023 09:04:29,1701421468740,1,01/12/2023 10:04:28,146089,8,questionnaire-ibmm,,33344183,BLIND,9872759,,complete,,6569a1059ae7a2a4ea21b354,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x715,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,3,yes,No,Evet,,,,40411
1,1701421528334,01/12/2023 09:05:28,1701421527174,1,01/12/2023 10:05:27,146089,8,questionnaire-ibmm,,33344194,BLIND,9872763,,complete,,6569a1cf66edb321267ffa0a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,3,,yes,No,Evet,,,,12850
1,1701421688016,01/12/2023 09:08:08,1701421687867,0,01/12/2023 09:08:07,146089,8,questionnaire-ibmm,,33344229,BLIND,9872771,,complete,,6569a26ce4535adae8234ff4,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1865x958,,,,Consent,5,SoundCheckPassed,4,test passed,,,,6,,,yes,No,Evet,,,,16555
1,1701421747002,01/12/2023 09:09:07,1701421746829,0,01/12/2023 09:09:06,146089,8,questionnaire-ibmm,,33344243,BLIND,9872777,,complete,,6569a2962c38ac1b09417db1,mobile,Apple iPhone,iOS 16.6.1,Mobile Safari 16.6,414x896,414x715,,,,Consent,5,SoundCheckPassed,1,test passed,4,,,,,,yes,No,Evet,,,,5859
1,1701422068603,01/12/2023 09:14:28,1701422068453,1,01/12/2023 10:14:28,146089,8,questionnaire-ibmm,,33344312,BLIND,9872792,,complete,,6569a3ede4535adae823503a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x697,,,,Consent,5,SoundCheckPassed,2,test passed,,6,,,,,yes,No,Evet,,,,56641
1,1701422402653,01/12/2023 09:20:02,1701422402033,0,01/12/2023 09:20:02,146089,8,questionnaire-ibmm,,33344377,BLIND,9872818,,complete,,6569a53dd51267177303ac33,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x911,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,1,yes,No,Evet,,,,8157
1,1701423692023,01/12/2023 09:41:32,1701423691937,0,01/12/2023 09:41:31,146089,8,questionnaire-ibmm,,33344942,BLIND,9872930,,complete,,6569aa3e4bde2a6c9da09b15,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,375x812,375x634,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,6,,yes,No,Evet,,,,30438
1,1701423792223,01/12/2023 09:43:12,1701423792029,0,01/12/2023 09:43:12,146089,8,questionnaire-ibmm,,33344999,BLIND,9872942,,complete,,6569aa9c5c13676611c2b205,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1536x864,1488x716,,,,Consent,5,SoundCheckPassed,3,test passed,,,2,,,,yes,No,Evet,,,,127633
1,1701423979587,01/12/2023 09:46:19,1701423979450,1,01/12/2023 10:46:19,146089,8,questionnaire-ibmm,,33345110,BLIND,9872955,,complete,,6569ab5cd4ce915953b157e1,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x783,,,,Consent,5,SoundCheckPassed,1,test passed,5,,,,,,yes,No,Evet,,,,48594
1,1701424327148,01/12/2023 09:52:07,1701424326995,0,01/12/2023 09:52:06,146089,8,questionnaire-ibmm,,33345323,BLIND,9872980,,complete,,6569ac6257c98464ecddb455,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1486x707,,,,Consent,5,SoundCheckPassed,3,test passed,,,1,,,,yes,No,Evet,,,,17530
1,1701424385373,01/12/2023 09:53:05,1701424383809,1,01/12/2023 10:53:03,146089,8,questionnaire-ibmm,,33345352,BLIND,9872984,,complete,,6569acf444b76045df88500e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1600x900,1600x811,,,,Consent,5,SoundCheckPassed,4,test passed,,,,5,,,yes,No,Evet,,,,27679
1,1701424746363,01/12/2023 09:59:06,1701424746264,1,01/12/2023 10:59:06,146089,8,questionnaire-ibmm,,33345518,BLIND,9873021,,complete,,6569ae5624c274cc4b7783f4,computer,Desktop or Laptop,Mac OS 10.15,Firefox 120.0,1440x900,1326x720,,,,Consent,5,SoundCheckPassed,2,test passed,,1,,,,,yes,No,Evet,,,,61672
1,1701425587603,01/12/2023 10:13:07,1701425587534,1,01/12/2023 11:13:07,146089,8,questionnaire-ibmm,,33345867,BLIND,9873088,,complete,,6569b142d2d7296155b15971,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x738,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,2,yes,No,Evet,,,,37710
1,1701425943007,01/12/2023 10:19:03,1701425943899,0,01/12/2023 10:19:03,146089,8,questionnaire-ibmm,,33346068,BLIND,9873146,,complete,,6569b3114b3e7435b590ddfa,mobile,undefined K,Android 10,Chrome 119.0.0.0,412x892,412x770,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,4,,yes,No,Evet,,,,10560
1,1701425984984,01/12/2023 10:19:44,1701425984842,0,01/12/2023 10:19:44,146089,8,questionnaire-ibmm,,33346101,BLIND,9873153,,complete,,6569b334c9f626f3f1eb9e71,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,430x932,430x739,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,2,,yes,No,Evet,,,,14608
1,1701426935003,01/12/2023 10:35:35,1701426932129,11,01/12/2023 21:35:32,146089,8,questionnaire-ibmm,,33346702,BLIND,9873272,,complete,,6569b6d1846c4acf83db8116,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1536x864,1488x742,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,5,yes,No,Evet,,,,104698
1,1701427755503,01/12/2023 10:49:15,1701427755353,1,01/12/2023 11:49:15,146089,8,questionnaire-ibmm,,33347107,BLIND,9873372,,complete,,6569ba18d4ce915953b15bb8,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.0,1440x900,1324x710,,,,Consent,5,SoundCheckPassed,2,test passed,,4,,,,,yes,No,Evet,,,,6444
1,1701429566223,01/12/2023 11:19:26,1701429566863,0,01/12/2023 11:19:26,146089,8,questionnaire-ibmm,,33348243,BLIND,9873678,,complete,,6569c0855b78acf47716f8a7,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x923,,,,Consent,5,SoundCheckPassed,4,test passed,,,,1,,,yes,No,Evet,,,,26611
1,1701429588716,01/12/2023 11:19:48,1701429589266,0,01/12/2023 11:19:49,146089,8,questionnaire-ibmm,,33348264,BLIND,9873685,,complete,,6569c13e5eee1674f7afe671,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x695,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,1,,yes,No,Evet,,,,79766
1,1701429862284,01/12/2023 11:24:22,1701429864209,0,01/12/2023 11:24:24,146089,8,questionnaire-ibmm,,33348491,BLIND,9873760,,complete,,6569c2519736ece7cbdb82c4,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,,Consent,5,SoundCheckPassed,3,test passed,,,5,,,,yes,No,Evet,,,,40252
1,1701429961088,01/12/2023 11:26:01,1701429962498,0,01/12/2023 11:26:02,146089,8,questionnaire-ibmm,,33348576,BLIND,9873790,,complete,,6569c2badeb78e8297cb37b7,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1280x720,1280x593,,,,Consent,5,SoundCheckPassed,1,test passed,6,,,,,,yes,No,Evet,,,,20641
1,1701431793385,01/12/2023 11:56:33,1701431793296,0,01/12/2023 11:56:33,146089,8,questionnaire-ibmm,,33349446,BLIND,9873989,,complete,,6569c9d813bd39ce0c729a0a,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1352x697,,,,Consent,5,SoundCheckPassed,3,test passed,,,4,,,,yes,No,Evet,,,,14033
1,1701431925671,01/12/2023 11:58:45,1701431927009,0,01/12/2023 11:58:47,146089,8,questionnaire-ibmm,,33349506,BLIND,9874001,,complete,,6569ca687e403f16de97f2f7,mobile,undefined K,Android 10,Chrome 118.0.0.0,412x915,412x782,,,,Consent,5,SoundCheckPassed,1,test passed,3,,,,,,yes,No,Evet,,,,37464
1,1701433539475,01/12/2023 12:25:39,1701433539389,1,01/12/2023 13:25:39,146089,8,questionnaire-ibmm,,33350136,BLIND,9874162,,complete,,6569d0614375cfddfe44a6ee,mobile,Apple iPhone,iOS 17.1.1,Mobile Safari 17.1.1,393x852,393x659,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,4,yes,No,Evet,,,,15934
1,1701435133393,01/12/2023 12:52:13,1701435133380,1,01/12/2023 13:52:13,146089,8,questionnaire-ibmm,,33350791,BLIND,9874358,,complete,,6569d6e92e3a7a4bc41a1ada,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x707,,,,Consent,5,SoundCheckPassed,2,test passed,,5,,,,,yes,No,Evet,,,,125502
1,1701436910927,01/12/2023 13:21:50,1701436910835,1,01/12/2023 14:21:50,146089,8,questionnaire-ibmm,,33351549,BLIND,9874559,,complete,,6569dccfd5a157a847efb2ff,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x715,,,,Consent,5,SoundCheckPassed,2,test passed,,4,,,,,yes,No,Evet,,,,55916
1,1701437000245,01/12/2023 13:23:20,1701436996768,0,01/12/2023 13:23:16,146089,8,questionnaire-ibmm,,33351597,BLIND,9874574,,complete,,6569de0538c894f3d78d2c3f,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x625,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,1,,yes,No,Evet,,,,31017
1,1701437443639,01/12/2023 13:30:43,1701437447957,-5,01/12/2023 08:30:47,146089,8,questionnaire-ibmm,,33351850,BLIND,9874648,,complete,,6569dff04b257636535aae50,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x929,,,,Consent,5,SoundCheckPassed,4,test passed,,,,5,,,yes,No,Evet,,,,8921
1,1701438143524,01/12/2023 13:42:23,1701438143345,1,01/12/2023 14:42:23,146089,8,questionnaire-ibmm,,33352134,BLIND,9874713,,complete,,6569e296888362ee5d18c3d1,mobile,undefined K,Android 10,Chrome 119.0.0.0,384x854,384x718,,,,Consent,5,SoundCheckPassed,1,test passed,6,,,,,,yes,No,Evet,,,,113498
1,1701438540727,01/12/2023 13:49:00,1701438542937,-5,01/12/2023 08:49:02,146089,8,questionnaire-ibmm,,33352331,BLIND,9874765,,complete,,6569e43ec74dfc0324852f5f,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x955,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,5,yes,No,Evet,,,,11635
1,1701439391897,01/12/2023 14:03:11,1701439391718,1,01/12/2023 15:03:11,146089,8,questionnaire-ibmm,,33352700,BLIND,9874880,,complete,,6569e7944657ae3651475ed5,mobile,undefined K,Android 10,Chrome 119.0.0.0,360x772,360x643,,,,Consent,5,SoundCheckPassed,3,test passed,,,5,,,,yes,No,Evet,,,,21453
1,1701441208363,01/12/2023 14:33:28,1701441208268,0,01/12/2023 14:33:28,146089,8,questionnaire-ibmm,,33353491,BLIND,9875070,,complete,,6569ee06648631bcf13a8d42,mobile,Apple iPhone,iOS 17.1,Chrome 119.0.6045.169,430x932,430x745,,,,Consent,5,SoundCheckPassed,1,test passed,3,,,,,,yes,No,Evet,,,,156043
1,1701441559394,01/12/2023 14:39:19,1701441559512,0,01/12/2023 14:39:19,146089,8,questionnaire-ibmm,,33353576,BLIND,9875096,,complete,,6569f009d5d541a2a1bc4e58,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x1001,,,,Consent,5,SoundCheckPassed,2,test passed,,3,,,,,yes,No,Evet,,,,80141
1,1701447111050,01/12/2023 16:11:51,1701447116493,2,01/12/2023 18:11:56,146089,8,questionnaire-ibmm,,33355802,BLIND,9875821,,complete,,656a05c0f9c69196c15ce23d,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1788x1091,,,,Consent,5,SoundCheckPassed,4,test passed,,,,6,,,yes,No,Evet,,,,6338
1,1701448257947,01/12/2023 16:30:57,1701448175733,1,01/12/2023 17:29:35,146089,8,questionnaire-ibmm,,33356277,BLIND,9875953,,complete,,656a0a2254dcaea76f48f57f,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 117.0.0.0,1440x900,1440x783,,,,Consent,5,SoundCheckPassed,5,test passed,,,,,2,,yes,No,Evet,,,,7663
1,1701448544431,01/12/2023 16:35:44,1701448543869,1,01/12/2023 17:35:43,146089,8,questionnaire-ibmm,,33356385,BLIND,9875984,,complete,,656a0b2c125d094ac35cef4d,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x739,,,,Consent,5,SoundCheckPassed,3,test passed,,,2,,,,yes,No,Evet,,,,72473
1,1701452398845,01/12/2023 17:39:58,1701452398753,1,01/12/2023 18:39:58,146089,8,questionnaire-ibmm,,33357767,BLIND,9876376,,complete,,656a1a15817b150d0c30a96e,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x707,,,,Consent,5,SoundCheckPassed,6,test passed,,,,,,1,yes,No,Evet,,,,112565
1,1701461359634,01/12/2023 20:09:19,1701461359873,0,01/12/2023 20:09:19,146089,8,questionnaire-ibmm,,33360071,BLIND,9876993,,complete,,656a3d6307bc05222dfa6596,mobile,undefined K,Android 10,Chrome 119.0.0.0,393x873,393x767,,,,Consent,5,SoundCheckPassed,2,test passed,,5,,,,,yes,No,Evet,,,,8415
